*** True densities ***
( -24 , 0 )
( -23 , 0 )
( -22 , 0 )
( -21 , 0 )
( -20 , 0.0001851 )
( -19 , 0.0002764 )
( -18 , 0.0009394 )
( -17 , 0.001106 )
( -16 , 0.002456 )
( -15 , 0.003333 )
( -14 , 0.005705 )
( -13 , 0.005745 )
( -12 , 0.01264 )
( -11 , 0.01094 )
( -10 , 0.01918 )
( -9 , 0.01955 )
( -8 , 0.03029 )
( -7 , 0.02689 )
( -6 , 0.04544 )
( -5 , 0.03764 )
( -4 , 0.05804 )
( -3 , 0.05239 )
( -2 , 0.06766 )
( -1 , 0.05589 )
( 0 , 0.08728 )
( 1 , 0.05589 )
( 2 , 0.06766 )
( 3 , 0.05239 )
( 4 , 0.05804 )
( 5 , 0.03764 )
( 6 , 0.04544 )
( 7 , 0.02689 )
( 8 , 0.03029 )
( 9 , 0.01955 )
( 10 , 0.01918 )
( 11 , 0.01094 )
( 12 , 0.01264 )
( 13 , 0.005745 )
( 14 , 0.005705 )
( 15 , 0.003333 )
( 16 , 0.002456 )
( 17 , 0.001106 )
( 18 , 0.0009394 )
( 19 , 0.0002764 )
( 20 , 0.0001851 )
( 21 , 0 )
( 22 , 0 )
( 23 , 0 )
( 24 , 0 )
*** True densitiesPP ***
( -24 , 0 )
( -23 , 0 )
( -22 , 0 )
( -21 , 0.0001470 )
( -20 , 0.0003606 )
( -19 , 0.0004771 )
( -18 , 0.001331 )
( -17 , 0.001507 )
( -16 , 0.003029 )
( -15 , 0.003915 )
( -14 , 0.006566 )
( -13 , 0.006637 )
( -12 , 0.01386 )
( -11 , 0.01195 )
( -10 , 0.02061 )
( -9 , 0.02099 )
( -8 , 0.03212 )
( -7 , 0.02838 )
( -6 , 0.04752 )
( -5 , 0.03956 )
( -4 , 0.06049 )
( -3 , 0.05436 )
( -2 , 0.06999 )
( -1 , 0.05804 )
( 0 , 0.1037 )
( 1 , 0.05804 )
( 2 , 0.06999 )
( 3 , 0.05436 )
( 4 , 0.06049 )
( 5 , 0.03956 )
( 6 , 0.04752 )
( 7 , 0.02838 )
( 8 , 0.03212 )
( 9 , 0.02099 )
( 10 , 0.02061 )
( 11 , 0.01195 )
( 12 , 0.01386 )
( 13 , 0.006637 )
( 14 , 0.006566 )
( 15 , 0.003915 )
( 16 , 0.003029 )
( 17 , 0.001507 )
( 18 , 0.001331 )
( 19 , 0.0004771 )
( 20 , 0.0003606 )
( 21 , 0.0001470 )
( 22 , 0 )
( 23 , 0 )
( 24 , 0 )
*** Predicted densities ***
( -24 , 0 )
( -23 , 0 )
( -22 , 0 )
( -21 , 0 )
( -20 , 0.0002209 )
( -19 , 0.0003434 )
( -18 , 0.0009804 )
( -17 , 0.001166 )
( -16 , 0.002682 )
( -15 , 0.003372 )
( -14 , 0.005649 )
( -13 , 0.005926 )
( -12 , 0.01275 )
( -11 , 0.01064 )
( -10 , 0.01861 )
( -9 , 0.01917 )
( -8 , 0.02990 )
( -7 , 0.02600 )
( -6 , 0.04479 )
( -5 , 0.03697 )
( -4 , 0.05795 )
( -3 , 0.05157 )
( -2 , 0.06689 )
( -1 , 0.05485 )
( 0 , 0.09912 )
( 1 , 0.05485 )
( 2 , 0.06689 )
( 3 , 0.05157 )
( 4 , 0.05795 )
( 5 , 0.03697 )
( 6 , 0.04479 )
( 7 , 0.02600 )
( 8 , 0.02990 )
( 9 , 0.01917 )
( 10 , 0.01861 )
( 11 , 0.01064 )
( 12 , 0.01275 )
( 13 , 0.005926 )
( 14 , 0.005649 )
( 15 , 0.003372 )
( 16 , 0.002682 )
( 17 , 0.001166 )
( 18 , 0.0009804 )
( 19 , 0.0003434 )
( 20 , 0.0002209 )
( 21 , 0 )
( 22 , 0 )
( 23 , 0 )
( 24 , 0 )
Distance between prediction and measurement 0.02673133920
Distance between prediction and measurement with PPAV 0.06755138999
