*** True densities ***
( -43 , 0 )
( -42 , 0 )
( -41 , 0 )
( -40 , 0 )
( -39 , 0 )
( -38 , 0 )
( -37 , 0 )
( -36 , 0 )
( -35 , 0 )
( -34 , 0 )
( -33 , 0 )
( -32 , 0 )
( -31 , 0 )
( -30 , 0 )
( -29 , 0 )
( -28 , 1.1461E-5 )
( -27 , 2.2236E-5 )
( -26 , 4.2892E-5 )
( -25 , 7.6227E-5 )
( -24 , 0.00013659 )
( -23 , 0.00022534 )
( -22 , 0.00037750 )
( -21 , 0.00059132 )
( -20 , 0.00093331 )
( -19 , 0.0013843 )
( -18 , 0.0021013 )
( -17 , 0.0029666 )
( -16 , 0.0042941 )
( -15 , 0.0058637 )
( -14 , 0.0081320 )
( -13 , 0.010610 )
( -12 , 0.014192 )
( -11 , 0.017633 )
( -10 , 0.022394 )
( -9 , 0.026634 )
( -8 , 0.032027 )
( -7 , 0.036151 )
( -6 , 0.041780 )
( -5 , 0.044868 )
( -4 , 0.049446 )
( -3 , 0.051327 )
( -2 , 0.054185 )
( -1 , 0.053905 )
( 0 , 0.055161 )
( 1 , 0.052783 )
( 2 , 0.051976 )
( 3 , 0.048306 )
( 4 , 0.045780 )
( 5 , 0.041003 )
( 6 , 0.037816 )
( 7 , 0.032611 )
( 8 , 0.028965 )
( 9 , 0.024341 )
( 10 , 0.020866 )
( 11 , 0.016921 )
( 12 , 0.014148 )
( 13 , 0.011110 )
( 14 , 0.0090077 )
( 15 , 0.0069197 )
( 16 , 0.0054350 )
( 17 , 0.0040484 )
( 18 , 0.0031085 )
( 19 , 0.0022362 )
( 20 , 0.0016533 )
( 21 , 0.0011553 )
( 22 , 0.00081963 )
( 23 , 0.00054676 )
( 24 , 0.00037224 )
( 25 , 0.00023551 )
( 26 , 0.00015129 )
( 27 , 9.0326E-5 )
( 28 , 5.3977E-5 )
( 29 , 2.9661E-5 )
( 30 , 1.6251E-5 )
( 31 , 0 )
( 32 , 0 )
( 33 , 0 )
( 34 , 0 )
( 35 , 0 )
( 36 , 0 )
( 37 , 0 )
( 38 , 0 )
( 39 , 0 )
( 40 , 0 )
( 41 , 0 )
( 42 , 0 )
( 43 , 0 )
*** Predicted densities ***
( -43 , 0 )
( -42 , 0 )
( -41 , 0 )
( -40 , 0 )
( -39 , 0 )
( -38 , 0 )
( -37 , 0 )
( -36 , 0 )
( -35 , 0 )
( -34 , 0 )
( -33 , 0 )
( -32 , 0 )
( -31 , 0 )
( -30 , 0 )
( -29 , 1.7523E-5 )
( -28 , 3.2804E-5 )
( -27 , 5.6225E-5 )
( -26 , 9.7370E-5 )
( -25 , 0.00015559 )
( -24 , 0.00025557 )
( -23 , 0.00038555 )
( -22 , 0.00060067 )
( -21 , 0.00087231 )
( -20 , 0.0012988 )
( -19 , 0.0018080 )
( -18 , 0.0026134 )
( -17 , 0.0035020 )
( -16 , 0.0048825 )
( -15 , 0.0063800 )
( -14 , 0.0085905 )
( -13 , 0.010837 )
( -12 , 0.014210 )
( -11 , 0.017241 )
( -10 , 0.021674 )
( -9 , 0.025432 )
( -8 , 0.030574 )
( -7 , 0.034301 )
( -6 , 0.039876 )
( -5 , 0.042832 )
( -4 , 0.047728 )
( -3 , 0.049698 )
( -2 , 0.053170 )
( -1 , 0.053214 )
( 0 , 0.055294 )
( 1 , 0.053214 )
( 2 , 0.053170 )
( 3 , 0.049698 )
( 4 , 0.047728 )
( 5 , 0.042832 )
( 6 , 0.039876 )
( 7 , 0.034301 )
( 8 , 0.030574 )
( 9 , 0.025432 )
( 10 , 0.021674 )
( 11 , 0.017241 )
( 12 , 0.014210 )
( 13 , 0.010837 )
( 14 , 0.0085905 )
( 15 , 0.0063800 )
( 16 , 0.0048825 )
( 17 , 0.0035020 )
( 18 , 0.0026134 )
( 19 , 0.0018080 )
( 20 , 0.0012988 )
( 21 , 0.00087231 )
( 22 , 0.00060067 )
